name,decade,subgenre,spotify_id
The Velvet Underground,1970s,Art Rock,1nJvji2KIlWSseXRSlNYsC
Patti Smith,1970s,Punk Poetry,0vYkHhJ48Bs3jWcvZXvOrP
Talking Heads,1970s,New Wave,2x9SpqnPi8rlE9pjHBwmSC
The Smiths,1980s,Jangle Pop,3yY2gUcIsjMr8hjo51PoJ8
Cocteau Twins,1980s,Dream Pop,5Wabl1lPdNOeIn0SQ5A1mp
Sonic Youth,1980s,Noise Rock,5UqTO8smerMvxHYA5xsXb6
Pavement,1990s,Lo-fi Indie,3inCNiUr4R6XQ3W43s9Aqi
Elliott Smith,1990s,Singer-Songwriter,2ApaG60P4r0yhBoDCGD8YG
Radiohead,1990s,Art Rock,4Z8W4fKeB5YxbusRsdQVPb
My Bloody Valentine, 1990s, Shoegaze,3G3Gdm0ZRAOxLrbyjfhii5
The Strokes,2000s,Garage Rock Revival,0epOFNiUfyON9EYx7Tpr6V
Sufjan Stevens,2000s,Baroque Pop,4MXUO7sVCaFgFjoTI5ox5c
Animal Collective,2000s,Psych Folk,4kwxTgCKMipBKhSnEstNKj
Beach House,2010s,Dream Pop,56ZTgzPBDge0OvCGgMO3OY
Mitski,2010s,Indie Rock,2uYWxilOVlUdk4oV9DvwqK
Tame Impala,2010s,Psychedelic Pop,5INjqkS1o8h1imAzPqGZBb
Phoebe Bridgers,2020s,Singer-Songwriter,1r1uxoy19fzMxunt3ONAkG
Big Thief,2020s,Indie Folk,5QdyldG4Fl4TPiOIeMNpBZ
"Black Country, New Road",2020s,Post-Rock,3PP6ghmOlDl2jaKaH0avUN
